Orphanum	Name	ICD10 Reference
85	Congenital dyserythropoietic anemia	D64.4
1246	Brachydactyly - nystagmus - cerebellar ataxia	Q87.8
177	Chondrodysplasia punctata, rhizomelic type	Q77.3
175	Cartilage-hair hypoplasia	Q78.8
209	Cutis laxa	Q82.8
42	Medium chain acyl-CoA dehydrogenase deficiency	E71.3
2364	Lactate dehydrogenase deficiency	E74.4
711	Glycogen storage disease type 14	E74.0
818	Smith-Lemli-Opitz syndrome	Q87.1
2066	Gamma aminobutyric acid transaminase deficiency	E72.8
300	Bifunctional enzyme deficiency	E71.3
519	Acute myeloid leukemia	C92.0
82	Hereditary thrombophilia due to congenital antithrombin deficiency	D68.8
913	Zollinger-Ellison syndrome	E16.4
1223	Balantidiasis	A07.0
3318	Essential thrombocythemia	D47.3
405	Familial hypocalciuric hypercalcemia	E83.5
2596	Myopathy and diabetes mellitus	G71.3
2596	Myopathy and diabetes mellitus	E10
1670	Chronic diarrhea with villous atrophy	K59.1
2841	Familial benign chronic pemphigus	Q82.8
18	Distal renal tubular acidosis	N25.8
809	Mixed connective tissue disease	M35.1
1866	Focal dystonia	G24
2073	Narcolepsy-cataplexy	G47.4
1576	Infantile bilateral striatal necrosis	G23.2
441	Pure autonomic failure	G90.3
256	Early onset torsion dystonia	G24.1
1320	Camptocormia	G24.8
751	Pseudoarylsulfatase A deficiency	E75.2
1018	X-linked diffuse leiomyomatosis -  Alport syndrome	Q87.8
306	Benign familial infantile seizures	G40.3
328	Congenital factor X deficiency	D68.2
2132	Hemoglobin C disease	D58.2
2133	Hemoglobin E disease	D58.2
288	Hereditary elliptocytosis	D58.1
3203	Overhydrated hereditary stomatocytosis	D58.8
3202	Dehydrated hereditary stomatocytosis	D58.8
1544	Adolescent benign focal crisis	G40.8
2385	Leukodystrophy, Reunion type	E75.2
135	CACH syndrome	E75.2
2794	Familial otosclerosis	H80.9
2781	Osteopetrosis	Q78.2
521	Chronic myeloid leukemia	C92.1
1333	Familial pancreatic carcinoma	C25
1333	Familial pancreatic carcinoma	Z80.0
2345	Isolated Klippel-Feil syndrome	Q76.1
1172	Autosomal recessive cerebellar ataxia	G11
3280	Syringomyelia	G95.0
2542	Isolated anophthalmia - microphthalmia	Q11.2
2542	Isolated anophthalmia - microphthalmia	Q11.1
2478	Megalencephaly - cystic leukodystrophy	E75.2
503	Larsen syndrome	Q68.8
2260	Oligomeganephronia	Q60.4
1652	Dent syndrome	N39.8
757	Pseudohypoaldosteronism type 2	I15.2
223	Nephrogenic diabetes insipidus	N25.1
3337	Primary Fanconi syndrome	E72.0
758	Pseudoxanthoma elasticum	Q82.8
419	Hyperprolinemia type 1	E72.5
1501	Adrenocortical carcinoma	C74.0
1501	Adrenocortical carcinoma	E24.8
513	Acute lymphoblastic leukemia	C91.0
2126	Hemangiopericytoma	C49.9
3273	Synovialosarcoma	C49.9
391	Hodgkin lymphoma, classical	C81
543	Burkitt lymphoma	C83.7
301	Ependymoma	C71.7
360	Glioblastoma	C71.8
668	Osteosarcoma	C40.9
319	Ewing sarcoma	C41.8
883	Teratoma	C56
883	Teratoma	C62
883	Teratoma	D44.5
3398	Thymic epithelial tumor	C37
547	Non-Hodgkin lymphoma	C83
3395	Brain tumor	C71.9
389	Langerhans cell histiocytosis	D76.0
285	Ehlers-Danlos syndrome, hypermobile type	Q79.6
286	Ehlers-Danlos syndrome, vascular type	Q79.6
1900	Ehlers-Danlos syndrome, kyphoscoliotic type	Q79.6
1899	Ehlers-Danlos syndrome, arthrochalasic type	Q79.6
1901	Ehlers-Danlos syndrome, dermatosparaxis type	Q79.6
257	Epidermolysis bullosa simplex - limb girdle muscular dystrophy	Q81.0
257	Epidermolysis bullosa simplex - limb girdle muscular dystrophy	G71.0
839	Congenital nephrotic syndrome, Finnish type	N04
531	Miller-Dieker syndrome	Q04.3
452	X-linked lissencephaly - agenesis of the corpus callosum - genital anomalies	Q04.0
452	X-linked lissencephaly - agenesis of the corpus callosum - genital anomalies	Q04.3
1084	Isolated lissencephaly type 1 without known genetic defects	Q04.3
1083	Microlissencephaly	Q04.3
1243	Best disease	H35.5
329	Congenital factor XI deficiency	D68.1
823	Spina bifida	Q05
1048	Anencephaly	Q00.0
1194	Mitochondrial encephalo-cardio-myopathy due to TMEM70 deficiency	G71.3
772	Infantile Refsum disease	G60.1
80	Antiphospholipid syndrome	D89.8
80	Antiphospholipid syndrome	I82.9
231	Dracunculiasis	B72
2035	Lymphatic filariasis	B74.0
2035	Lymphatic filariasis	B74.1
2035	Lymphatic filariasis	B74.2
2394	Lipoamide dehydrogenase deficiency	E74.4
2404	Loiasis	B74.3
2459	Mansonellosis	B74.4
829	Adult Still's disease	M06.1
2356	Arachnoid cyst	G93.0
2356	Arachnoid cyst	Q04.6
3096	Reye's syndrome	G93.7
1776	Tardive dyskinesia	G24.0
176	Nonrhizomelic chondrodysplasia punctata	Q77.3
890	Hepatic veno-occlusive disease	K76.5
2686	Cyclic neutropenia	D70
2688	Adult  idiopathic neutropenia	D70
811	Shwachman-Diamond syndrome	D61.0
336	Fibromuscular dysplasia of arteries	I77.3
428	Autosomal dominant hypocalcemia	E20.8
2298	Insulin-resistance syndrome type B	E11
2207	Familial primary hyperparathyroidism	E21.0
393	46,XX testicular disorder of sex development	Q99.1
77	Aniridia	Q13.1
2637	Microcephalic osteodysplastic primordial short stature type 2	Q87.1
592	Macrophagic myofasciitis	M60.2
639	Polyneuropathy associated with IgM monoclonal gammopathy with anti-MAG	G61.8
662	Yellow nail syndrome	L60.5
537	Lyell syndrome	
793	SAPHO syndrome	L70.0
793	SAPHO syndrome	M07.3
793	SAPHO syndrome	M86.3
651	Congenital idiopathic nystagmus	H55
103	Optic atrophy	H47.2
629	Short stature due to growth hormone qualitative anomaly	E23.0
632	Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia	D80.0
632	Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia	E23.0
2032	Idiopathic pulmonary fibrosis	J84.1
3348	Tracheobronchopathia osteochondroplastica	M94.8
2902	Idiopathic chronic eosinophilic pneumonia	J82
1302	Cryptogenic organizing pneumonia	J84.8
198	Occipital horn syndrome	E83.0
891	Familial exudative vitreoretinopathy	H35.0
225	Diabetes - maternally inherited deafness	H90.3
225	Diabetes - maternally inherited deafness	E13
806	Scott syndrome	D69.8
130	Brugada syndrome	I49.0
277	Severe combined immunodeficiency due to adenosine deaminase deficiency	D81.3
413	Hyperlipoproteinemia type 4	E78.1
426	Familial hypobetalipoproteinemia	E78.6
3008	Pyruvate carboxylase deficiency	E74.4
595	Centronuclear myopathy	G71.2
552	MODY syndrome	E11.8
854	Portal vein thrombosis	I81
298	Myoneurogastrointestinal encephalopathy syndrome	E79.8
781	Q fever	A78
297	Tick-borne encephalitis	A84
68	Amoebiasis due to free-living amoebae	A06
76	Anguillulosis	B78
78	Ankylostomiasis	B76
108	Babesiosis	B60.0
390	Histoplasmosis	B39
400	Hydatidosis	B67
401	Hymenolepiasis	B71.0
472	Isosporiasis	A07.3
504	Creeping myiasis	B76.9
723	Pneumocystosis	B59
826	Sporotrichosis	B42
879	Tungiasis	B88.1
224	Neonatal diabetes mellitus	P70.2
450	Heterotaxia	Q89.3
520	Acute promyelocytic leukemia	C92.4
517	Acute myelomonocytic leukemia	C92.5
514	Acute monoblastic leukemia	C92.7
318	Acute erythroid leukemia	C94.0
518	Acute megacaryoblastic leukemia	C94.2
898	Wagner disease	H35.5
345	Dissecting cellulitis of the scalp	L08.8
169	Ringed hair disease	Q84.1
170	Woolly hair	Q84.2
505	Lassueur-Graham-Little syndrome	L66.1
2221	Acquired hypertrichosis lanuginosa	L68.1
499	Kerion celsi	B35.0
573	Monilethrix	Q84.1
840	Syringocystadenoma papilliferum	D23.9
700	Alopecia totalis	L63.0
720	Pili bifurcati	L67.8
247	Arrhythmogenic right ventricular dysplasia	I42.8
334	Familial atrial fibrillation	I48
1330	Partial atrioventricular canal	Q21.2
2452	Vascular malposition	Q20.8
1677	Familial idiopathic dilatation of the right atrium	Q20.8
1666	Dextrocardia	Q24.0
1461	Criss-cross heart	Q20.5
779	Reynolds syndrome	K74.5
779	Reynolds syndrome	L94.0
764	Pyomyositis	B95.6
764	Pyomyositis	M60.0
563	Peripartum cardiomyopathy	O90.3
81	Antisynthetase syndrome	D89.8
482	Kimura disease	D21
482	Kimura disease	I89.8
482	Kimura disease	L92.8
889	Cutaneous leukocytoclastic angiitis	L95.8
889	Cutaneous leukocytoclastic angiitis	M31.0
838	Susac syndrome	H34.9
838	Susac syndrome	H90.5
188	Capillary leak syndrome	E86
188	Capillary leak syndrome	R57.1
3282	Chaotic atrial tachycardia	I47.1
658	Angioedema	T78.3
435	Ito hypomelanosis	L81.8
2908	Poikiloderma of Kindler	Q82.8
305	Junctional epidermolysis bullosa	Q81.1
305	Junctional epidermolysis bullosa	Q81.8
303	Dystrophic epidermolysis bullosa	Q81.2
496	Thost-Unna palmoplantar keratoderma	Q82.8
493	Familial keratoacanthoma	L85.8
523	Familial leiomyomatosis	D21.9
530	Lipoid proteinosis	E75.5
659	Olmsted syndrome	Q82.8
841	Sebocystomatosis	L72.2
867	Familial multiple trichoepithelioma	D23.3
679	Malignant atrophic papulosis	I82.9
901	Wells syndrome	L98.3
703	Bullous pemphigoid	L12.0
625	Atypical mole	C43.9
873	Desmoid disease	C49.9
553	Cushing syndrome	E24
432	Normosmic congenital hypogonadotropic hypogonadism	E23.0
91	Aromatase deficiency	E25.8
786	Glucocorticoid resistance	E25.8
759	Central precocious puberty	E22.8
143	Parathyroid carcinoma	C75.0
142	Anaplastic thyroid carcinoma	C73
463	Adrenal incidentaloma	D35.0
467	Nonacquired combined pituitary hormone deficiency	E23.0
728	Relapsing polychondritis	M94.1
1332	Medullary thyroid carcinoma	C73
310	Reflex epilepsy	G40.8
852	X-linked thrombocytopenia	D69.4
465	Congenital plasminogen activator inhibitor type 1 deficiency	D68.8
853	Fetal and neonatal alloimmune thrombocytopenia	P61.0
483	Congenital high-molecular-weight kininogen deficiency	D68.8
749	Congenital prekallikrein deficiency	D68.8
721	Gray platelet syndrome	D69.1
488	Urachal cyst	Q64.4
238	Digestive duplication	Q45.8
831	Congenital narrowing of cervical spinal canal	Q06.8
641	Multifocal motor neuropathy with conduction block	G12.2
119	Autosomal recessive limb-girdle muscular dystrophy type 2E	G71.0
353	Autosomal recessive limb-girdle muscular dystrophy type 2C	G71.0
219	Autosomal recessive limb-girdle muscular dystrophy type 2F	G71.0
266	Autosomal dominant limb-girdle muscular dystrophy type 1A	G71.0
264	Autosomal dominant limb-girdle muscular dystrophy type 1B	G71.0
268	Autosomal recessive limb-girdle muscular dystrophy type 2B	G71.0
265	Autosomal dominant limb-girdle muscular dystrophy type 1C	G71.0
272	Congenital muscular dystrophy, Fukuyama type	G71.2
272	Congenital muscular dystrophy, Fukuyama type	Q04.3
899	Walker-Warburg syndrome	Q04.3
899	Walker-Warburg syndrome	G71.2
588	Muscle eye brain disease	Q04.3
588	Muscle eye brain disease	G71.2
603	Distal myopathy, Welander type	G71.0
602	Distal myopathy, Nonaka type	G71.0
609	Tibial muscular dystrophy	G71.0
600	Distal myopathy with vocal cord weakness	G71.0
263	Limb-girdle muscular dystrophy	G71.0
278	Corticobasal degeneration	G31.0
725	Continuous spike-wave during slow sleep syndrome	F80.3
590	Congenital myasthenic syndromes	G70.2
404	Familial hyperaldosteronism type 2	E26.0
320	Apparent mineralocorticoid excess	E26.1
724	Idiopathic acute eosinophilic pneumonia	J82
230	Dopamine beta-hydroxylase deficiency	G90.8
102	Multiple system atrophy	G90.3
824	Myelofibrosis with myeloid metaplasia	D47.1
748	Mendelian susceptibility to atypical mycobacteria	A31.9
748	Mendelian susceptibility to atypical mycobacteria	Z83.1
729	Polycythemia vera	D45
162	Cataract-glaucoma	Q12.0
544	Diffuse large B-cell lymphoma	C83.3
545	Follicular lymphoma	C82
88	Idiopathic aplastic anemia	D61.0
807	Sebastian syndrome	D69.4
25980	X-linked myopathy with excessive autophagy	G72.8
26137	Juvenile temporal arteritis	L95.8
26348	Acquired prothrombin deficiency	D68.4
26349	Protein S acquired deficiency	D68.8
26790	Pseudomyxoma peritonei	C78.6
26791	Glutaric acidemia type 2	E71.3
26792	Deficiency of short chain acyl-CoA dehydrogenase	E71.3
26793	Very long chain acyl-CoA dehydrogenase deficiency	E71.3
28378	Tyrosinemia type 2	E70.2
28455	Pancreatic beta cell agenesis with neonatal diabetes mellitus	E10
29072	Hereditary pheochromocytoma-paraganglioma	C75.5
29072	Hereditary pheochromocytoma-paraganglioma	C74.1
29072	Hereditary pheochromocytoma-paraganglioma	D35.0
29072	Hereditary pheochromocytoma-paraganglioma	D35.6
29073	Multiple myeloma	C90.0
29207	Reactive arthritis	M02.8
29822	Spontaneous periodic hypothermia	R68.0
30391	Biliary atresia	Q44.2
30924	Hypomagnesemia caused by selective magnesium malabsorption	E83.4
30925	Non-acquired isolated central diabetes insipidus	E23.2
31043	Familial hypomagnesemia with hypercalciuria and nephrocalcinosis	E83.4
31150	Tangier disease	E78.6
31153	Hypoalphalipoproteinemia	E78.6
31154	Hypobetalipoproteinemia	E78.6
31204	Nocardiosis	A43
31740	Extrinsic allergic alveolitis	J67.0
31827	Paraquat poisoning	T60.3
32960	TRAPS syndrome	R50
33067	Metaphyseal chondrodysplasia, Jansen type	Q78.5
33069	Dravet syndrome	G40.4
33111	Granulomatous slack skin	C84.0
33208	Idiopathic hypersomnia	F51.1
33226	Waldenström macroglobulinemia	C88.0
33271	Non-alcoholic steatohepatitis	K76.0
33276	Kaposi's sarcoma	C46
33402	Hepatocellular carcinoma, childhood-onset	C22.0
33408	Bullous lichen planus	L43.1
33475	Meningococcal meningitis	A39.0
33475	Meningococcal meningitis	G01
33540	Familial Parkinson's disease dementia	F02.3
33540	Familial Parkinson's disease dementia	G20
33543	Kleine-Levin syndrome	G47.8
33572	5-oxoprolinase deficiency	E72.8
33573	Gamma-glutamyl transpeptidase deficiency	E72.8
33574	Gamma-glutamylcysteine synthetase deficiency	D55.1
33577	Nodular non-suppurative panniculitis	M35.6
34145	Berger disease	N02
34145	Berger disease	R76.8
34149	Autosomal dominant medullary cystic kidney disease with or without hyperuricemia	Q61.5
34217	Naxos disease	Q87.8
34412	HAIR-AN syndrome	E13
34412	HAIR-AN syndrome	E28.2
34514	Autosomal recessive limb-girdle muscular dystrophy type 2G	G71.0
34515	Autosomal recessive limb-girdle muscular dystrophy type 2I	G71.0
34516	Autosomal dominant limb-girdle muscular dystrophy type 1D	G71.0
34517	Autosomal dominant limb-girdle muscular dystrophy type 1E	G71.0
34520	Congenital muscular dystrophy with integrin deficiency	G71.2
34521	Distal myopathy with early respiratory muscle involvement	G71.0
34527	Hypomagnesemia with normocalciuria	E83.4
34528	Isolated dominant hypomagnesemia	E83.4
34533	Corneal dystrophy	H18.5
34587	Glycogen storage disease due to LAMP-2 deficiency	E74.0
35056	Trimethylaminuria	E88.8
35069	Infantile neuroaxonal dystrophy	G23.0
35078	Severe combined immunodeficiency T- B+ due to JAK3 deficiency	D81.2
35098	Isolated plagiocephaly	Q67.3
35107	Desmosterolosis	Q87.8
35120	Anemia due to pyrimidine 5' nucleotidase deficiency	D55.3
35121	Acid phosphatase deficiency	E83.3
35122	Congenital sucrase-isomaltase deficiency	E74.3
35123	Short chain 3-hydroxyacyl-CoA dehydrogenase deficiency	E71.3
35125	Epidermal nevus syndrome	Q85.8
35173	X-linked dominant chondrodysplasia punctata	Q77.3
35664	Progressive neurodegeneration - joint laxity - cataract	E72.2
35687	Erdheim-Chester disease	D76.3
35689	Primary lateral sclerosis	G12.2
35698	Mitochondrial DNA depletion syndrome	Q99.8
35701	3-hydroxy 3-methylglutaryl-CoA synthase deficiency	E71.3
35704	Arginine:glycine amidinotransferase deficiency	E72.8
35705	Neurometabolic disorder due to serine deficiency	E72.8
35706	Glutaric acidemia type 3	E72.3
35708	Aromatic L-aminoacid decarboxylase deficiency	G24.8
35710	Glucose-galactose malabsorption	E74.3
35807	Ovarian germ cell malignant tumor	C56
35808	Ovarian malignant tumor of sex cord-stromal origin	C56
35808	Ovarian malignant tumor of sex cord-stromal origin	D27
35858	Gräsbeck-Imerslund disease	D51.1
35878	Hyperinsulinism-hyperammonemia syndrome	E72.8
35909	Combined deficiency of factor V and factor VIII	D68.8
35981	Polymicrogyria	Q04.3
36258	Buerger's disease	I73.1
36273	Gastric linitis plastica	C16.2
36355	P2Y12 deficiency	D69.8
36383	Familial vascular leukoencephalopathy	I67.3
36385	Fronto-temporal dementia and parkinsonism linked to chromosome 17	F02.3
36385	Fronto-temporal dementia and parkinsonism linked to chromosome 17	G20
36386	Hereditary sensory and autonomic neuropathy type 1	G60.8
36387	Generalized epilepsy with febrile seizures-plus context	G40.3
36397	Adiposis dolorosa	E88.2
36899	Myoclonic dystonia	G24.1
36899	Myoclonic dystonia	G25.3
37042	X-linked immune dysregulation - polyendocrinopathy - enteropathy	D84.8
37042	X-linked immune dysregulation - polyendocrinopathy - enteropathy	K52.8
37042	X-linked immune dysregulation - polyendocrinopathy - enteropathy	E31.8
37202	Interstitial cystitis	N30.1
37553	Cardiodysrythmic potassium-sensitive periodic paralysis	G72.3
37559	Acquired kinky hair syndrome	L67.8
37612	Episodic ataxia type 1	G11.8
37748	Schnitzler syndrome	D47.2
37748	Schnitzler syndrome	L50.8
37748	Schnitzler syndrome	M13.9
38874	Dihydropyrimidinuria	E79.8
40050	Adult psoriatic arthritis	L40.5+
40923	Eales disease	H35.0
42062	Iminoglycinuria	E72.0
68356	Leukodystrophy	E75.2
68367	Metabolic disease	E70-E90
68402	Rare parkinsonian syndrome	G20
42642	Marshall's syndrome with periodic fever	R50.8
43393	Lambert-Eaton myasthenic syndrome	G73.1
44890	Gastrointestinal stromal tumor	C26.9
45358	Congenital fibrosis of extraocular muscles	H49.8
45360	Meniere disease	H81.0
45448	Miyoshi myopathy	G71.0
46059	Lathosterolosis	Q87.8
46485	Superficial pemphigus	L10.2
46487	Acquired epidermolysis bullosa	L12.3
46532	Hereditary persistence of fetal hemoglobin	D56.4
46724	Cerebral arteriovenous fistula	Q28.2
47045	Familial cold urticaria	L50.2
47612	Felty syndrome	M05.0
48104	Pyoderma gangrenosum	L88
48162	Lewis-Sumner syndrome	G61.8
48372	Nodular regenerative hyperplasia of the liver	K76.8
48377	Subcorneal pustular dermatosis	L13.1
48431	Congenital cataracts - facial dysmorphism - neuropathy	Q87.0
48435	Viral vasculitis not related to HBV or HCV	B97
48435	Viral vasculitis not related to HBV or HCV	I77.6
48435	Viral vasculitis not related to HBV or HCV	I80.9
48471	Lissencephaly	Q04.3
48652	Monosomy 22q13	Q93.5
48818	Aceruloplasminemia	G23.0
48918	Focal myositis	M60.8
49041	Retroperitoneal fibrosis	M35.5
49382	Achromatopsia	H53.5
49566	Purpura fulminans	D65
49827	Thiamine-responsive megaloblastic anemia with diabetes mellitus and sensorineural deafness	D53.1
50251	Mesothelioma	C45
50810	Microlissencephaly - micromelia	Q04.3
50811	Lipodystrophy - intellectual deficit - deafness	Q87.1
50838	Carpal tunnel syndrome	G56.0
50839	Cat-scratch disease	A28.1
50918	Kikuchi-Fujimoto disease	D76.3
50945	Chondrodysplasia, Blomstrand type	Q78.8
51208	Formiminoglutamic aciduria	E70.8
51577	Lissencephaly type 2	Q04.3
51636	WHIM syndrome	D81.8
52416	Mantle cell lymphoma	C83.1
52428	Congenital muscular dystrophy type 1C	G71.2
52430	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia	G72.8
52503	X-linked creatine transporter deficiency	E72.8
52530	Pseudo-Von Willebrand disease	D69.8
52688	Myelodysplastic syndromes	D46
52901	Isolated follicle stimulating hormone deficiency	E23.6
52994	Orbital leiomyoma	D31.6
53347	Brody myopathy	G71.1
53351	X-linked dystonia-parkinsonism	G24.1
53351	X-linked dystonia-parkinsonism	G22
53372	Hereditary geniospasm	G25.3
53583	Episodic choreoathetosis/spasticity	G25.5
53690	Congenital lactase deficiency	E73.0
53691	Congenital cornea plana	Q13.4
53698	Hyaline body myopathy	G71.2
53715	Tumoral calcinosis	M11.2
53739	Distal hereditary motor neuropathy	G12.2
54028	Plummer-Vinson syndrome	D50.1
54057	Thrombotic thrombocytopenic purpura	D69.4
54238	Myotonic dystrophy type 3	G71.1
54247	Posterior cortical atrophy	G31.1
54251	Corticosteroid-sensitive aseptic abscesses	K50
54251	Corticosteroid-sensitive aseptic abscesses	K51
54260	Left ventricular noncompaction	I42.8
54595	Craniopharyngioma	D44.4
55595	Autosomal dominant limb-girdle muscular dystrophy type 1F	G71.0
55596	Autosomal dominant limb-girdle muscular dystrophy type 1G	G71.0
55655	Pneumococcal meningitis	G00.1
56044	Carcinoma of the gallbladder	C23
56304	Atelosteogenesis type II	Q78.8
56305	Atelosteogenesis type III	Q78.8
56425	Cold agglutinin disease	D59.1
56965	Progressive bulbar paralysis of childhood	G12.1
56970	Transmissible spongiform encephalopathies	A81
57145	SUNCT syndrome	G44.8
57777	Cirrhotic cardiomyopathy	K74.6
57782	Mazabraud syndrome	D21.9
57782	Mazabraud syndrome	M85.0
58017	Hairy cell leukemia	C91.4
58208	Pericarditis	I30
59135	Laing distal myopathy	G71.0
59298	Schilder disease	G37.0
59315	Rhombencephalosynapsis	Q04.3
60015	Parietal foramina	Q75.8
60030	Aortic aneurysm syndrome, Loeys-Dietz type	I71.0
63261	HERNS syndrome	I67.3
63273	Distal myopathy with posterior leg and anterior upper limb involvement	G71.0
63443	Gastric cancer	C16
64545	Benign idiopathic neonatal seizures	G40.3
64739	Ovarian hyperstimulation syndrome	N98.1
64744	Riedel thyroiditis	E06.5
64746	Autosomal dominant Charcot-Marie-Tooth disease type 2	G60.0
64747	X-linked Charcot-Marie-Tooth disease	G60.0
64748	Dejerine-Sottas syndrome	G60.0
64749	Charcot-Marie-Tooth disease type 4	G60.0
64751	Hereditary motor and sensory neuropathy type 5	G60.0
64752	Hereditary sensory and autonomic neuropathy type 5	G60.8
64753	Spinocerebellar ataxia with axonal neuropathy type 2	G60.2
65287	Beta-ureidopropionase deficiency	E79.8
65681	Vaginal atresia	Q52.0
65682	Benign recurrent intrahepatic cholestasis	K83.1
65683	Focal cortical dysplasia	G40.2
65683	Focal cortical dysplasia	Q04.8
65684	Monomelic amyotrophy	G12.8
65748	Multiple keratoacanthoma, Ferguson-Smith type	D23.9
65753	Charcot-Marie-Tooth disease type 1	G60.0
66518	Short fifth metacarpals - insulin resistance	E11
66624	PANDAS	G25.6
66628	Obesity due to congenital leptin deficiency	E66.8
66646	Cutaneous mastocytosis	Q82.2
66661	Mast cell sarcoma	C96.2
66662	Extracutaneous mastocytoma	C96.2
67038	Chronic B-cell lymphocytic leukemia	C91.1
67041	Hyaluronidase deficiency	E76.2
67044	Dyserythropoietic anemia with thrombocytopenia	D69.4
67046	3-methylglutaconic aciduria type 1	E71.1
67047	3-methylglutaconic aciduria type 3	E71.1
67048	3-methylglutaconic aciduria type 4	E71.1
69028	Brachydactyly	Q68.1
69076	Renal glucosuria	E74.8
69723	Tyrosinemia type 3	E70.2
70470	Hyperlipoproteinemia type 5	E78.3
70474	Cardiomyopathy - hypotonia, due to cytochrome c oxidase deficiency	G71.3
70482	Esophageal carcinoma	C15
70567	Cholangiocarcinoma	C22.1
70573	Small cell lung cancer	C34.9
70578	Adult acute respiratory distress syndrome	J80
70587	Infant acute respiratory distress syndrome	P22.0
70589	Bronchopulmonary dysplasia	P27.1
70594	Motor and cognitive disorder due to sepiapterin reductase deficiency	E70.1
70594	Motor and cognitive disorder due to sepiapterin reductase deficiency	G24.1
71202	Constitutional thrombopathy	D69.1
71211	Neuromyelitis optica	G36.0
71212	3-hydroxylacyl-CoA dehydrogenase deficiency	E71.3
71275	Rh deficiency syndrome	D58.8
71277	Encephalopathy due to GLUT1 deficiency	G93.4
71278	Congenital brain dysgenesis due to glutamine synthetase deficiency	E72.8
71279	CANOMAD syndrome	G61.8
71289	Radio-ulnar synostosis - amegakaryocytic thrombocytopenia	D69.8
71290	Familial platelet syndrome with predisposition to acute myelogenous leukemia	D69.4
71493	Familial thrombocytosis	D75.2
71516	Mixed dystonia	G24.1
71517	Rapid-onset dystonia-parkinsonism	G24.1
71517	Rapid-onset dystonia-parkinsonism	G22
71519	Psychogenic movement disorders	F44.4
71526	Obesity due to pro-opiomelanocortin deficiency	E66.8
71528	Obesity due to prohormone convertase-I deficiency	E66.8
71529	Obesity due to melanocortin-4 receptor deficiency	E66.8
73223	Global developmental delay - osteopenia - ectodermal defect	F91.8
73223	Global developmental delay - osteopenia - ectodermal defect	Q87.8
73224	Tubular renal disease - cardiomyopathy	I42.0
73224	Tubular renal disease - cardiomyopathy	N25.8
73229	Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures	H35.0
73229	Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures	R31
73230	Ossification anomalies - psychomotor development delay	Q79.8
73245	Spinal muscular atrophy - Dandy-Walker complex - cataracts	G12.1
73246	Visceral neuropathy - brain anomalies - facial dysmorphism - developmental delay	Q89.7
73247	Eosinophilic esophagitis	K20
73267	Hypernychthemeral syndrome	G47.2
73268	Young adult-onset Parkinsonism	G20
73271	Bleeding diathesis due to glycoprotein VI deficiency or integrin alpha2-beta1 deficiency	D69.1
73272	Growth delay due to insulin-like growth factor I deficiency	E34.3
73273	Growth delay due to insulin-like growth factor I resistance	E34.3
73274	Acquired hemophilia	D68.4
73274	Acquired hemophilia	D80.8
73423	Acute ackee fruit intoxication	T62.2
75233	Wolman disease	E75.5
75234	Cholesteryl ester storage disease	E75.5
75249	Familial isolated restrictive cardiomyopathy	I42.5
75377	Central areolar choroidal dystrophy	H31.2
75563	X-linked sideroblastic anemia	D64.0
75564	Idiopathic acquired sideroblastic anemia	D46.1
75840	Congenital muscular dystrophy, Ullrich type	G71.2
77259	Gaucher disease type 1	E75.2
77260	Gaucher disease type 2	E75.2
77261	Gaucher disease type 3	E75.2
77292	Niemann-Pick disease type A	E75.2
77293	Niemann-Pick disease type B	E75.2
77295	Odontoleukodystrophy	E75.2
77295	Odontoleukodystrophy	K00.0
77304	Not NOTCH3-related small vessel disease of the brain	I67.3
77828	Genetic obesity	E66.8
79022	Simpson-Golabi-Behmel syndrome type 2	Q87.0
79083	Familial partial lipodystrophy associated with PPARG mutations	E88.1
79084	Familial partial lipodystrophy, Köbberling type	E88.1
79085	Familial partial lipodystrophy due to AKT2 mutations	E88.1
79086	Acquired generalized lipodystrophy	E88.1
79087	Partial acquired lipodystrophy	E88.1
79089	Lipodystrophy in Human Immunodeficiency Virus-infected patients	B23.8
79091	Hereditary inclusion body myopathy - joint contractures - ophthalmoplegia	G72.8
79093	Foix-Alajouanine syndrome	G37.4
79096	Pyridoxal phosphate-responsive seizures	E53.1
79101	Hyperprolinemia type II	E72.5
79102	Thyrotoxic periodic paralysis	G72.3
79105	Myxofibrosarcoma	C49.9
79124	Hepatic veno-occlusive disease - immunodeficiency	K76.5
79127	Respiratory bronchiolitis - interstitial lung disease	J84.8
79135	Episodic ataxia type 3	G11.8
79136	Episodic ataxia type 4	G11.8
79138	Bickerstaff's brainstem encephalitis	G61.0
79139	Japanese encephalitis	A83.0
79140	Cutaneous neuroendocrine carcinoma	C44
79141	Hereditary painful callosities	Q82.8
79154	2-aminoadipic aciduria	E72.3
79155	Encephalopathy due to hydroxykynureninuria	E70.8
79156	Seizures - intellectual deficit due to hydroxylysinuria	E72.3
79157	Developmental delay due to 2-methylbutyryl-CoA dehydrogenase deficiency	E71.1
79159	Isobutyryl-CoA dehydrogenase deficiency	E71.1
79165	Congenital hyperinsulinism	E16.1
79166	Amino acid transport disease	E72.0
79167	Ammonia detoxification-urea cycle defect	E72.2
